ticker,company,sector,industry,hq,date_first_added,cik,founded
BF.B,Brown–Forman,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,0000014693,"1870
",
BG,Bunge Limited,Agricultural Products & Services,"Chesterfield, Missouri",2023-03-15,0001144519,"1818
",
CHRW,C.H. Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,0001043277,"1905
",
CDNS,Cadence Design Systems,Application Software,"San Jose, California",2017-09-18,0000813672,"1988
",
CZR,Caesars Entertainment,Casinos & Gaming,"Reno, Nevada",2021-03-22,0001590895,"1973
",
CPT,Camden Property Trust,Residential REITs,"Houston, Texas",2022-04-04,0000906345,"1981
",
CPB,Campbell Soup Company,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,0000016732,"1869
",
COF,Capital One,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,0000927628,"1994
",
CAH,Cardinal Health,Health Care Distributors,"Dublin, Ohio",1997-05-27,0000721371,"1971
",
KMX,CarMax,Automotive Retail,"Richmond, Virginia",2010-06-28,0001170010,"1993
",
CCL,Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,0000815097,"1972
",
CARR,Carrier Global,Building Products,"Palm Beach Gardens, Florida",2020-04-03,"0001783180
","2020 (1915)
",
CTLT,Catalent,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,0001596783,"2007
",
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,0000018230,"1925
",
CBOE,Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,0001374310,"1973
",
CBRE,CBRE Group,Real Estate Services,"Dallas, Texas",2006-11-10,0001138118,"1906
",
CDW,CDW,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,0001402057,"1984
",
CE,Celanese,Specialty Chemicals,"Irving, Texas",2018-12-24,0001306830,"1918
",
CNC,Centene Corporation,Managed Health Care,"St. Louis, Missouri",2016-03-30,0001071739,"1984
",
CNP,CenterPoint Energy,Multi-Utilities,"Houston, Texas",1985-07-31,0001130310,"1882
",
CDAY,Ceridian,Application Software,"Minneapolis, Minnesota",2021-09-20,0001725057,"1992
",
CF,CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,0001324404,"1946
",
CRL,Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,0001100682,"1947
",
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,0000316709,"1971
",
CHTR,Charter Communications,Cable & Satellite,"Stamford, Connecticut",2016-09-08,0001091667,"1993
",
CVX,Chevron Corporation,Integrated Oil & Gas,"San Ramon, California",1957-03-04,0000093410,"1879
",
CMG,Chipotle Mexican Grill,Restaurants,"Newport Beach, California",2011-04-28,0001058090,"1993
",
CB,Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,0000896159,"1985
",
CHD,Church & Dwight,Household Products,"Ewing, New Jersey",2015-12-29,0000313927,"1847
",
CI,Cigna,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,"0001739940
","1982
",
CINF,Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,0000020286,"1950
",
CTAS,Cintas,Diversified Support Services,"Mason, Ohio",2001-03-01,0000723254,"1929
",
CSCO,Cisco,Communications Equipment,"San Jose, California",1993-12-01,0000858877,"1984
",
